Titulli,Column1,Te tjere,Viti,Regjia,Aktore,Nenkategori,Shteti,Pershkrimi,Openload,Streamango,Column5,Column6,Column7,,,,,,
Me_before_you,Me before you,Para se te te njihja ty,2016,Thea Sharrock,"Emilia Clarke,Sam Claflin,Janet McTeer ","drame,romance",Amerikan,Lou Clark knows lots of things. She knows how many footsteps there are between the bus stop and home. She knows she likes working in The Buttered Bun tea shop and she knows she might not love her boyfriend Patrick. What Lou doesn't know is she's about to lose her job or that knowing what's coming is what keeps her sane. Will Traynor knows his motorcycle accident took away his desire to live. He knows everything feels very small and rather joyless now and he knows exactly how he's going to put a stop to that. What Will doesn't know is that Lou is about to burst into his world in a riot of color. And neither of them knows they're going to change each other for all time.,https://openload.co/embed/es0TcUxuZnI/Me_before_you.mp4,https://streamango.com/embed/aprtqkcdtbrbrton/Me_before_you_mp4,,,,,,,,,
Night_Passage,Night Passage,Shkembim Goditjesh,2006,Robert Harmon,"Tom Selleck,Saul Rubinek,Viola Davis","krime,drame,mister",Amerikan,"After having drinking issues while on-duty In Santa Monica, California, the former detective Jesse Stone moves to Paradise, Massachusetts with his old dog Boomer. Stone is invited by Paradise's powerful counselor, Hastings Hathaway. Stone replaces former Chief Lou Carson, who retired early. In Stone's first assignment, he hits an abusive husband named Joe Genest. Genest disregarded a restraining order. Local attorney Abby Taylor visits Stone after the incident and an affair begins. When Lou is killed, Chief Jesse Stone suspects of the mobster Joe and Hastings, and plots a situation trying to disclose the truth.",https://openload.co/embed/jSnYmjte2BU/Night_Passage.mp4,https://streamango.com/embed/acblqreoqlnosfak/Night_Passage_mp4,,,,,,,,,
Nos_Jours_Heureux,Nos Jours Heureux,"Ato dite te lumtura,Those Happy Days",2006,"Olivier Nakache,Eric Toledano","Jean-Paul Rouve,Marilou Berry,Omar Sy",komedi,Francez,"A genuine and often funny depiction of the relationships between monitors and children in a summer vacation camp. From romance to friendship, dancing to fighting, this French movie bring back good souvenirs of childhood.",https://openload.co/embed/nJx_DaHLCo0/Nos_Jours_Heureux.mp4,https://streamango.com/embed/mtrmnmtrdtcadsqt/Nos_Jours_Heureux_mp4,,,,,,,,,
On_the_Beach,On the Beach,Ne plazh,1959,Stanley Kramer,"Gregory Peck,Ava Gardner,Fred Astaire ","drame,romance,fantashk",Amerikan,"In 1964, atomic war wipes out humanity in the northern hemisphere; one American submarine finds temporary safe haven in Australia, where life-as-usual covers growing despair. In denial about the loss of his wife and children in the holocaust, American Captain Towers meets careworn but gorgeous Moira Davidson, who begins to fall for him. The sub returns after reconnaissance a month (or less) before the end; will Towers and Moira find comfort with each other?",https://openload.co/embed/NicukPlUxa4/On_the_Beach.mp4,https://streamango.com/embed/qmlrflrdtkkkness/On_the_Beach_mp4,,,,,,,,,
Paris_can_wait,Paris can wait,Parisi mund te prese,2016,Eleanor Coppola,"Diane Lane,Arnaud Viard,Alec Baldwin","komedi,drame,romance",Amerikan,"Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a business associate of her husband. What should be a seven-hour drive turns into a carefree two-day adventure replete with diversions involving picturesque sights, fine food and wine, humor, wisdom and romance, reawakening Anne's senses and giving her a new lust for life.",https://openload.co/embed/kGtWQjHZ4ms/Paris_can_wait.mp4,https://streamango.com/embed/prkbtdcbraclpoda/Paris_can_wait_mp4,,,,,,,,,
Queen_of_Katwe,Queen of Katwe,Mbreteresha e Katues,2016,Mira Nair,"Madina Nalwanga,David Oyelowo,Lupita Nyongo","biografi,drame,sport",Amerikan,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,https://openload.co/embed/l73FtgGsHWg/Queen_of_Katwe.mp4,https://streamango.com/embed/bbmcckcaqfsemdoe/Queen_of_Katwe_mp4,,,,,,,,,
Railroad_Tigers,Railroad Tigers,Tigrat e Hekurudhes,2016,Ding Sheng,"Jackie Chan,Jaycee Chan,Zitao Huang","aksion,komedi,lufte",Kinez,"In December 1941, The railway from Tianjin to Nanjing in East China became a key military transportation route, heavily guarded by Japanese soldiers. Ma Yuan, a railroad worker and his group of freedom fighters find themselves on the wrong side of the tracks when they decide to ambush a heavily armed military train filled with desperately needed provisions. Unarmed and outnumbered, they must rely on their wits to battle an entire army.",https://openload.co/embed/Lfs71hiza04/Railroad_Tigers.mp4,https://streamango.com/embed/ebkomtsltcckqstl/Railroad_Tigers_mp4,,,,,,,,,
Se_sei_cosi_ti_dico_Si,Se sei cosi ti dico Si,Te pranoj keshtu si je,20111,Eugenio Cappuccio,"Emilio Solfrizzi,Belen Rodriguez,Fabrizio Buompastore",komedi,Italian,"Piero Cicala is a former singer, a one hit wonder from the Italian summer of 1981. 30 years later he gets a call to participate in a tv show that explores the history of pop culture in recent decades, one episode per year. Piero is now working in a restaurant in a small town on the Italian south-eastern coast. After some reluctance Piero accepts. He appears on tv with mixed success: his new song falls flat but the old hit still works. That night he begins a fling with a young beautiful starlet from Argentina who takes him to America. At an Italian American gathering he finally gets a chance to sing his new intense and dramatic song in its entirety and it is a success. This gives Piero the courage to start a singing career again. It is the story of a man who looks into himself and after a long period of doubt finds his own true value again.",https://openload.co/embed/Ir-hbtQoTfY/Se_sei_cosi_ti_dico_Si.mp4,https://streamango.com/embed/dpntllesfqbcetso/Se_sei_cosi_ti_dico_Si_mp4,,,,,,,,,
Selfless,Selfless,Vetemohim,2015,Tarsem Singh,"Ryan Reynolds,Natalie Martinez,Matthew Goode","aksion,mister,fantashk",Amerikan,"An extremely wealthy man, dying from cancer, undergoes a radical medical procedure that transfers his consciousness into the body of a healthy young man. But all is not as it seems when he starts to uncover the mystery of the body's origin and the organization that will kill to protect its cause.",https://openload.co/embed/pJnUPSdRGEM/Selfless.mp4,https://streamango.com/embed/dlsqtesatpnodpan/Selfless_mp4,,,,,,,,,
Septembers_of_Shiraz,Septembers of Shiraz,Shtatoret ne Shiraz,2015,Wayne Blair,"Salma Hayek,Shohreh Aghdashloo,Adrien Brody",thriller,Amerikan,Prior to the Iranian revolution it was a place where people of all religions were allowed to flourish. This is the story of a prosperous Jewish family who abandon everything before they are consumed by the passions of revolutionaries.,https://openload.co/embed/V7pzDc3tcTQ/Septembers_of_Shiraz.mp4,https://streamango.com/embed/mmpmbfmmtcpnkoae/Septembers_of_Shiraz_mp4,,,,,,,,,
Serena,Serena,Serena,2014,Susanne Bier,"Bradley Cooper,Jennifer Lawrence,Rhys Ifans ","drame,romance",Amerikan,"In Depression-era North Carolina, the future of George Pemberton's timber empire becomes complicated when he marries Serena.",https://openload.co/embed/eKu0B9nsOic/Serena.mp4,https://streamango.com/embed/bnamdmmctqsanmtk/Serena_mp4,,,,,,,,,
Singing_in_the_rain,Singing in the rain,Kendim ne shi,1952,"Stanley Donen,Gene Kelly","Gene Kelly,Donald OConnor,Debbie Reynolds ","komedi,romance,muzikor",Amerikan,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the pan: talking pictures. It isn't until The Jazz Singer (1927) becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don's best friend, gets hired as Monumental's ...",https://openload.co/embed/ApKk1HCs9RM/Singing_in_the_rain.mp4,https://streamango.com/embed/qefocrenlmtpktmf/Singing_in_the_rain_mp4,,,,,,,,,
Sisters,Sisters,Motrat,2015,Jason Moore,"Amy Poehler,Tina Fey,Maya Rudolph ",komedi,Amerikan,"Sisters Kate and Maura Ellis are summoned home to clean out their childhood bedroom before their parents sell the family house, much to their dismay. Looking to recapture their glory days, they throw one final high-school-style party for their classmates, which turns into the cathartic rager that a bunch of ground-down adults really need.",https://openload.co/embed/v_q7FoTmSZc/Sisters.mp4,https://streamango.com/embed/ssarflnkqaqeqtba/Sisters_mp4,,,,,,,,,
The_Big_Sick,The Big Sick,Semundja e rende e Dashurise,2017,Michael Showalter,"Kumail Nanjiani,Zoe Kazan,Holly Hunter ","komedi,drame,romance",Amerikan,"Kumail (Kumail Nanjiani), in the middle of becoming a budding stand-up comedian, meets Emily (Zoe Kazan). Meanwhile, a sudden illness sets in forcing Emily to be put into a medically-induced coma. Kumail must navigate being a comedian, dealing with tragic illness, and placating his family's desire to let them fix him up with a spouse, while contemplating and figuring out who he really is and what he truly believes",https://openload.co/embed/NudWDgJDXbw/The_Big_Sick.mp4,https://streamango.com/embed/bmmpbtblfftspkfr/The_Big_Sick_mp4,,,,,,,,,
The_Jungle_Book,The Jungle Book,Libri i Xhungles,2016,Jon Favreau,"Neel Sethi,Bill Murray,Ben Kingsley ","aventure,drame,familjar",Amerikan,"The man-cub Mowgli flees The jungle after a threat from the Tiger Shere Khan. Guided by Bagheera the panther and the bear Baloo, Mowgli embarks on a journey of self-discovery, though he also meets creatures who don't have his best interests at heart.",https://openload.co/embed/rrdKCKZba6A/The_Jungle_Book.mp4,https://streamango.com/embed/qoqfendbkcdapcee/The_Jungle_Book_mp4,,,,,,,,,
The_last_Station,The last Station,Stacioni i fundit,2009,Michael Hoffman,"Helen Mirren,James McAvoy,Christopher Plummer ","biografi,drame,romance",Amerikan,"The Countess Sofya, wife and muse to Leo Tolstoy, uses every trick of seduction on her husband's loyal disciple, whom she believes was the person responsible for Tolstoy signing a new will that leaves his work and property to the Russian people.",https://openload.co/embed/CqZvmt8ax84/The_last_Station.mp4,https://streamango.com/embed/mcdpbqtpcnrqebff/The_last_Station_mp4,,,,,,,,,
The_last_word,The last word,Fjala e fundit,2017,Mark Pellington,"Shirley MacLaine,Amanda Seyfried,AnnJewel Lee Dixon","komedi,drame",Amerikan,"Harriet (Shirley MacLaine) is a successful, retired businesswoman who wants to control everything around her until the bitter end. To make sure her life story is told her way, she pays off her local newspaper to have her obituary written in advance under her watchful eye. But Anne (Amanda Seyfried), the young journalist assigned to the task, refuses to follow the script and instead insists on finding out the true facts about Harriett's life, resulting in a life-altering friendship",https://openload.co/embed/GKWrQRJj-c4/The_last_word.mp4,https://streamango.com/embed/ekfocmoebtafsrra/The_last_word_mp4,,,,,,,,,
The_Maze_Runer,The Maze Runer,Vrapo ose Vdis,2014,Wes Ball,"Dylan OBrien,Kaya Scodelario,Will Poulter","aksion,mister,fantashk",Amerikan,"Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive. ",https://openload.co/embed/SzC64oFQjOM/The_Maze_Runer.mp4,https://streamango.com/embed/rtoobnofndqflarp/The_Maze_Runer_mp4,,,,,,,,,
The_sea_of_Trees,The sea of Trees,Deti i Pemeve,2015,Gus Van Sant,"Matthew McConaughey,Naomi Watts,Ken Watanabe",drame,Amerikan,"Arthur Brennan treks into Aokigahara, known as The Sea of Trees, a mysterious dense forest at the base of Japan's Mount Fuji where people go to commit suicide. On his journey to the suicide forest, he encounters Takumi Nakamura, a Japanese man who has lost his way after attempting suicide. The two men begin a journey of reflection and survival, which affirms Arthur's will to live and reconnects him to his love for his wife.",https://openload.co/embed/_fCU-s1p0iA/The_sea_of_Trees.mp4,https://streamango.com/embed/nasrllomtmrpcdat/The_sea_of_Trees_mp4,,,,,,,,,
The_Shack,The Shack,Kasollja,2017,Stuart Hazeldine,"Sam Worthington,Octavia Spencer,Tim McGraw","drame,fantazi",Amerikan,"After the abduction and presumed death of Mackenzie Allen Phillips' youngest daughter, Missy, Mack receives a letter and suspects it is from God, asking him to return to The Shack where Missy may have been murdered. After contemplating it, he leaves his home to go to The Shack for the first time since Missy's abduction and an encounter that will change his life forever.",https://openload.co/embed/R4Ra-mMhXx8/The_Shack.mp4,https://streamango.com/embed/tqqmckdakrmefnbs/The_Shack_mp4,,,,,,,,,
To_write_Love_on_her_arms,To write Love on her arms,Shkruar Dashuri ne krahet e saj,2012,Nathan Frankowski,"Kat Dennings,Chad Michael Murray,Rupert Friend","drame,biografi,muzikor",Amerikan,"The story follows 19-year-old Renee (Kat Dennings) who has always loved fairy tales: the idea of a princess, a hero and a happily ever after. But Renee's life is that of a darker tale: she's a young woman battling addiction, depression and self-injury. In a creative blend of artistic fantasy balanced with harsh reality, the movie follows Renee on her courageous journey towards recovery.",https://openload.co/embed/g4DCAY3vzsI/To_write_Love_on_her_arms.mp4,https://streamango.com/embed/mcrkodfkdqtknesk/To_write_Love_on_her_arms_mp4,,,,,,,,,
Truth,Truth,E verteta,2015,James Vanderbilt,"Cate Blanchett,Robert Redford,Dennis Quaid","biografi,drame,histori",Amerikan,"Newsroom drama detailing the 2004 CBS 60 Minutes report investigating then-President George W. Bush's military service, and the subsequent firestorm of criticism that cost anchor Dan Rather and producer Mary Mapes their careers.",https://openload.co/embed/D8PmQ5zEbkQ/Truth.mp4,https://streamango.com/embed/ccrmbleapodkstap/Truth_mp4,,,,,,,,,
Un_Fantastico_viavai,Un Fantastico viavai,Nje keqkuptim fantastik,2013,Leonardo Pieraccioni,"Leonardo Pieraccioni,Serena Autieri,Maurizio Battista",komedi,Italian,"Arnaldo, Anita and the twins, Martina and Federica, here is the Nardi family. A quiet, normal middle class family. The man is at that stage of his life where nostalgia for the period as a student becomes stronger. It would be nice to be able to go back. It would be nice to savor those moments. It would be also nice to tell someone who has little more than twenty years in life you have to believe in their dreams and not be afraid. Perhaps also coming to steal a caravel of Columbus, as he did, and set sail in the wind and then stop only when ... steal a caravel of Columbus? A misunderstanding with his wife and she throws him out of the house! This is his big chance for a personal ""time machine"". For man decides to go temporarily to live in a student house: four, have little more than twenty years and the man from day to day lives with their age, those hopes, those doubts that ""unfortunately, ""he seems to have more. Two worlds compared two ways of seeing the future, a single goal: to ..",https://openload.co/embed/lacLNbBJgLI/Un_Fantastico_viavai.mp4,https://streamango.com/embed/ntsdeqklatcltqoe/Un_Fantastico_viavai_mp4,,,,,,,,,
Un_fidanzato_per_mia_moglie,Un fidanzato per mia moglie,Nje te dashur per gruan time,2014,Davide Marengo,"Luca Bizzarri,Paolo Kessisoglu,Geppi Cucciari",komedi,Italian,An exasperated husband hires a fading playboy to seduce his annoying wife in order to speed up a separation from her.,https://openload.co/embed/fK9y5H-0oNE/Un_fidanzato_per_mia_moglie.mp4,https://streamango.com/embed/perbdsmmdmacplrp/Un_fidanzato_per_mia_moglie_mp4,,,,,,,,,
Underworld_Blood_Wars,Underworld Blood Wars,Vampire dhe Likane 5 Lufterat e gjakut,2016,Anna Foerster,"Kate Beckinsale,Theo James,Tobias Menzies","aksion,aventure,fantazi",Amerikan,"The next installment in the blockbuster franchise, UNDERWORLD: BLOOD WARS follows Vampire death dealer, Selene (Kate Beckinsale) as she fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David (Theo James) and his father Thomas (Charles Dance), she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",https://openload.co/embed/aLixCNllec4/Underworld_Blood_Wars.mp4,https://streamango.com/embed/dbkcksbmtmskfoec/Underworld_Blood_Wars_mp4,,,,,,,,,
Valerian_and_the_city_of_a_thousand_Planets,Valerian and the city of a thousand Planets,Valeriani dhe qyteti i njemije Planeteve,2017,Luc Besson,"Dane DeHaan,Cara Delevingne,Clive Owen","aksion,aventure,fantazi",Amerikan,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",https://openload.co/embed/PmrpmVd450c/Valerian_and_the_city_of_a_thousand_Planets.mp4,https://streamango.com/embed/pqftkdfenstcbkko/Valerian_and_the_city_of_a_thousand_Planets_mp4,,,,,,,,,
What_we_did_on_our_holiday,What we did on our holiday,Bemat e pushimeve,2014,"Andy Hamilton,Guy Jenkin","Rosamund Pike,David Tennant,Billy Connolly","komedi,drame",Amerikan,"Doug and Abi take their kids on a family vacation. Surrounded by relatives, the kids innocently reveal the ins and outs of their family life and many intimate details about their parents. It's soon clear that when it comes to keeping a big secret under wraps from the rest of the family, their children are their biggest liability... Find out how the rest of the family cope and see if the holiday will ever end. ",https://openload.co/embed/RXUc9Nn8A2I/What_we_did_on_our_holiday.mp4,https://streamango.com/embed/monedscnfcmnkaff/What_we_did_on_our_holiday_mp4,,,,,,,,,
Wonder_woman,Wonder woman,Wonder woman,2017,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright ","aksion,aventure,fantazi",Amerikan,"Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when a pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers and her true destiny.",https://openload.co/embed/anxAD3hCXw0/Wonder_woman.mp4,https://streamango.com/embed/fprfbeonffdneqmb/Wonder_woman_mp4,,,,,,,,,
X+Y_A_Brillant_young_mind,X+Y A Brillant young mind,Nje mendje brilante,2014,Morgan Matthews,"Asa Butterfield,Rafe Spall,Sally Hawkins","drame,romance",Anglez,"In a world difficult to comprehend, Nathan struggles to connect with those around him - most of all his loving mother - but finds comfort in numbers. When Nathan is taken under the wing of unconventional and anarchic teacher, Mr. Humphreys, the pair forge an unusual friendship and Nathan's talents win him a place on the UK team at the International Mathematics Olympiad. From suburban England to bustling Taipei and back again, Nathan builds complex relationships as he is confronted by the irrational nature of love.",https://openload.co/embed/6TB9wZJAnDU/X%2BY_A_Brillant_young_mind.mp4,https://streamango.com/embed/ttkqenllnrdrpkkq/X_Y_A_Brillant_young_mind_mp4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
